,group_name,year_month,negative %,neutral %,positive %
36,LosAngelesClippers,2020-07,2.1686746987951806,82.16867469879519,15.66265060240964
37,LosAngelesClippers,2020-08,11.746031746031745,66.34920634920634,21.904761904761905
38,LosAngelesClippers,2020-09,14.743589743589745,68.26923076923077,16.98717948717949
39,LosAngelesLakers,2020-07,3.2396251673360106,77.13520749665328,19.62516733601071
40,LosAngelesLakers,2020-08,9.027777777777777,61.22685185185185,29.745370370370374
41,LosAngelesLakers,2020-09,8.24468085106383,65.95744680851064,25.79787234042553
42,MemphisGrizzlies,2020-07,9.221556886227544,70.4191616766467,20.35928143712575
43,MemphisGrizzlies,2020-08,13.934426229508196,59.42622950819673,26.639344262295083
44,MemphisGrizzlies,2020-09,2.73972602739726,61.64383561643836,35.61643835616438
45,MiamiHeat,2020-07,5.718736092567869,70.87227414330218,23.40898976412995
46,MiamiHeat,2020-08,13.22381930184805,48.58316221765914,38.19301848049281
47,MiamiHeat,2020-09,15.956430345881904,40.16816357729792,43.87540607682018
48,MilwaukeeBucks,2020-07,2.8949545078577335,83.87096774193549,13.234077750206783
49,MilwaukeeBucks,2020-08,28.09756097560976,37.51219512195122,34.390243902439025
50,MilwaukeeBucks,2020-09,28.555176336746303,50.05688282138794,21.387940841865756
51,MinnesotaTimberwolves,2020-07,2.6506024096385543,84.81927710843374,12.530120481927712
52,MinnesotaTimberwolves,2020-08,5.263157894736842,73.68421052631578,21.052631578947366
53,MinnesotaTimberwolves,2020-09,18.181818181818183,72.72727272727273,9.090909090909092
54,NewOrleansPelicans,2020-07,8.342728297632469,69.44757609921083,22.209695603156707
55,NewOrleansPelicans,2020-08,13.609467455621301,72.7810650887574,13.609467455621301
56,NewOrleansPelicans,2020-09,0.0,71.42857142857143,28.57142857142857
57,NewYorkKnicks,2020-07,1.3354700854700854,62.5534188034188,36.11111111111111
58,NewYorkKnicks,2020-08,10.81081081081081,60.13513513513513,29.054054054054053
59,NewYorkKnicks,2020-09,9.433962264150944,69.81132075471697,20.754716981132077
60,OklahomaCityThunder,2020-07,3.2710280373831773,89.25233644859813,7.476635514018691
61,OklahomaCityThunder,2020-08,12.878787878787879,71.21212121212122,15.909090909090908
62,OklahomaCityThunder,2020-09,11.688311688311687,63.63636363636363,24.675324675324674
63,OrlandoMagic,2020-07,4.87987987987988,61.63663663663663,33.48348348348348
64,OrlandoMagic,2020-08,15.572105619498986,46.03926878808395,38.388625592417064
65,OrlandoMagic,2020-09,13.253012048192772,65.06024096385542,21.686746987951807
66,Philadelphia76ers,2020-07,4.6918123275068995,76.90892364305428,18.39926402943882
67,Philadelphia76ers,2020-08,11.636363636363637,67.27272727272727,21.09090909090909
68,Philadelphia76ers,2020-09,13.20754716981132,75.47169811320755,11.320754716981133
69,PhoenixSuns,2020-07,6.572164948453609,75.51546391752578,17.912371134020617
70,PhoenixSuns,2020-08,15.336658354114713,43.01745635910225,41.64588528678304
71,PhoenixSuns,2020-09,3.8461538461538463,51.92307692307693,44.230769230769226
72,PortlandTrailBlazers,2020-07,6.548672566371681,69.38053097345133,24.07079646017699
73,PortlandTrailBlazers,2020-08,15.145813734713077,51.83443085606774,33.019755409219194
74,PortlandTrailBlazers,2020-09,9.67741935483871,77.41935483870968,12.903225806451612
75,SacramentoKings,2020-07,5.044345898004435,74.94456762749445,20.01108647450111
76,SacramentoKings,2020-08,14.520547945205479,55.61643835616439,29.863013698630137
77,SacramentoKings,2020-09,7.142857142857142,82.14285714285714,10.714285714285714
78,SanAntonioSpurs,2020-07,3.0690537084398977,68.15856777493606,28.77237851662404
79,SanAntonioSpurs,2020-08,5.957446808510639,58.723404255319146,35.319148936170215
80,SanAntonioSpurs,2020-09,5.88235294117647,72.54901960784314,21.568627450980394
81,TorontoRaptors,2020-07,2.1748492678725238,69.16451335055986,28.660637381567618
